EnrichedDO	AffliatedEntrezGeneID
R-HSA-109581	10000
R-HSA-109581	10018
R-HSA-109581	100302736
R-HSA-109581	100506658
R-HSA-109581	10059
R-HSA-109581	10134
R-HSA-109581	10197
R-HSA-109581	10213
R-HSA-109581	1029
R-HSA-109581	10971
R-HSA-109581	115209
R-HSA-109581	118
R-HSA-109581	122706
R-HSA-109581	140735
R-HSA-109581	143471
R-HSA-109581	148022
R-HSA-109581	1499
R-HSA-109581	1612
R-HSA-109581	1613
R-HSA-109581	1630
R-HSA-109581	1676
R-HSA-109581	1677
R-HSA-109581	1828
R-HSA-109581	1829
R-HSA-109581	1830
R-HSA-109581	1832
R-HSA-109581	1869
R-HSA-109581	207
R-HSA-109581	208
R-HSA-109581	219699
R-HSA-109581	22900
R-HSA-109581	22985
R-HSA-109581	23198
R-HSA-109581	23368
R-HSA-109581	2339
R-HSA-109581	23604
R-HSA-109581	23643
R-HSA-109581	26060
R-HSA-109581	2620
R-HSA-109581	27113
R-HSA-109581	2810
R-HSA-109581	28988
R-HSA-109581	2934
R-HSA-109581	3002
R-HSA-109581	3005
R-HSA-109581	3006
R-HSA-109581	3007
R-HSA-109581	3008
R-HSA-109581	3009
R-HSA-109581	3024
R-HSA-109581	3146
R-HSA-109581	3148
R-HSA-109581	317
R-HSA-109581	324
R-HSA-109581	329
R-HSA-109581	331
R-HSA-109581	353376
R-HSA-109581	355
R-HSA-109581	356
R-HSA-109581	3836
R-HSA-109581	3837
R-HSA-109581	4000
R-HSA-109581	4001
R-HSA-109581	4137
R-HSA-109581	4836
R-HSA-109581	4976
R-HSA-109581	5062
R-HSA-109581	51074
R-HSA-109581	51765
R-HSA-109581	5317
R-HSA-109581	5339
R-HSA-109581	5366
R-HSA-109581	5414
R-HSA-109581	54205
R-HSA-109581	55075
R-HSA-109581	5533
R-HSA-109581	5534
R-HSA-109581	5580
R-HSA-109581	5588
R-HSA-109581	5594
R-HSA-109581	5595
R-HSA-109581	5599
R-HSA-109581	56616
R-HSA-109581	5682
R-HSA-109581	5683
R-HSA-109581	5684
R-HSA-109581	5685
R-HSA-109581	5686
R-HSA-109581	5687
R-HSA-109581	5688
R-HSA-109581	5689
R-HSA-109581	5690
R-HSA-109581	5691
R-HSA-109581	5692
R-HSA-109581	5693
R-HSA-109581	5694
R-HSA-109581	5695
R-HSA-109581	5696
R-HSA-109581	5698
R-HSA-109581	5699
R-HSA-109581	5700
R-HSA-109581	5701
R-HSA-109581	5702
R-HSA-109581	5704
R-HSA-109581	5705
R-HSA-109581	5706
R-HSA-109581	5707
R-HSA-109581	5708
R-HSA-109581	5709
R-HSA-109581	57099
R-HSA-109581	5710
R-HSA-109581	5711
R-HSA-109581	5713
R-HSA-109581	5714
R-HSA-109581	5715
R-HSA-109581	5716
R-HSA-109581	5717
R-HSA-109581	5718
R-HSA-109581	5719
R-HSA-109581	572
R-HSA-109581	5720
R-HSA-109581	5721
R-HSA-109581	5747
R-HSA-109581	578
R-HSA-109581	581
R-HSA-109581	596
R-HSA-109581	598
R-HSA-109581	6093
R-HSA-109581	6233
R-HSA-109581	6304
R-HSA-109581	637
R-HSA-109581	63967
R-HSA-109581	660
R-HSA-109581	6709
R-HSA-109581	6774
R-HSA-109581	7027
R-HSA-109581	7029
R-HSA-109581	708
R-HSA-109581	7082
R-HSA-109581	7099
R-HSA-109581	7157
R-HSA-109581	7159
R-HSA-109581	7161
R-HSA-109581	7186
R-HSA-109581	7311
R-HSA-109581	7314
R-HSA-109581	7316
R-HSA-109581	7431
R-HSA-109581	7529
R-HSA-109581	7531
R-HSA-109581	7532
R-HSA-109581	7533
R-HSA-109581	7534
R-HSA-109581	79658
R-HSA-109581	7979
R-HSA-109581	836
R-HSA-109581	839
R-HSA-109581	840
R-HSA-109581	841
R-HSA-109581	842
R-HSA-109581	8428
R-HSA-109581	8626
R-HSA-109581	8655
R-HSA-109581	8717
R-HSA-109581	8737
R-HSA-109581	8743
R-HSA-109581	8772
R-HSA-109581	8795
R-HSA-109581	8797
R-HSA-109581	8837
R-HSA-109581	90249
R-HSA-109581	90427
R-HSA-109581	929
R-HSA-109581	9414
R-HSA-109581	9491
R-HSA-109581	9500
R-HSA-109581	9861
R-HSA-109581	999
R-HSA-109582	1
R-HSA-109582	10019
R-HSA-109582	10112
R-HSA-109582	10125
R-HSA-109582	1017
R-HSA-109582	10184
R-HSA-109582	1020
R-HSA-109582	10235
R-HSA-109582	10242
R-HSA-109582	10257
R-HSA-109582	10335
R-HSA-109582	10362
R-HSA-109582	10376
R-HSA-109582	10381
R-HSA-109582	10382
R-HSA-109582	10383
R-HSA-109582	10411
R-HSA-109582	10447
R-HSA-109582	10451
R-HSA-109582	10461
R-HSA-109582	1048
R-HSA-109582	10487
R-HSA-109582	10490
R-HSA-109582	10544
R-HSA-109582	10603
